Index,category,sub_category,brand,sale_price,market_price
7238,Beauty & Hygiene,Feminine Hygiene,Sirona,148.75,175
7239,"Foodgrains, Oil & Masala",Masalas & Spices,Everest,78,78
7240,Cleaning & Household,Fresheners & Repellents,Aer,341.1,379
7241,Beauty & Hygiene,Bath & Hand Wash,Soulflower,1050,1500
7242,Gourmet & World Food,Chocolates & Biscuits,Ferrero,849,849
7243,Snacks & Branded Foods,Ready To Cook & Eat,Bambino,115,115
7244,Snacks & Branded Foods,Snacks & Namkeen,Sanjay ,40,40
7245,Beauty & Hygiene,Skin Care,BIOTIQUE,142.5,190
7246,Beverages,Tea,WaghBakri,62.5,125
7247,Gourmet & World Food,Chocolates & Biscuits,Ferrero,599,599
7248,Beauty & Hygiene,Feminine Hygiene,Jeva,337.5,450
7249,Beauty & Hygiene,Skin Care,USTRAA,226,350
7250,Beauty & Hygiene,Fragrances & Deos,Rasasi,945.25,995
7251,"Foodgrains, Oil & Masala",Rice & Rice Products,bb Royal,85,140
7252,Cleaning & Household,"Disposables, Garbage Bag",BB Home,208,280
7253,Beauty & Hygiene,Bath & Hand Wash,Dettol,385.7,418
7254,Cleaning & Household,Detergents & Dishwash,Robin,68,74
7255,"Kitchen, Garden & Pets",Flask & Casserole,Milton,769,985
7256,Beauty & Hygiene,Fragrances & Deos,Nike,195.3,279
7257,Beauty & Hygiene,Hair Care,Revlon,190,200
7258,Gourmet & World Food,Cooking & Baking Needs,Nectar Valley,350,350
7259,Baby Care,Diapers & Wipes,Huggies,319.33,349
7260,Beauty & Hygiene,Men's Grooming,LetsShave,849,849
7261,Snacks & Branded Foods,"Spreads, Sauces, Ketchup",Turn Organic ,149,149
7262,"Kitchen, Garden & Pets",Crockery & Cutlery,Pasabahce,529,720
7263,"Eggs, Meat & Fish",Mutton & Lamb,Fresho,425,449
7264,Snacks & Branded Foods,"Spreads, Sauces, Ketchup",Bechef,160,200
7265,"Foodgrains, Oil & Masala",Rice & Rice Products,Daawat ,1004,1050
7266,Beauty & Hygiene,Men's Grooming,Gillette,832.02,849
7267,"Foodgrains, Oil & Masala",Organic Staples,MeraKisan,133,133
7268,"Kitchen, Garden & Pets",Pet Food & Accessories,Ferplast,1420,1420
7269,Cleaning & Household,"Mops, Brushes & Scrubs",Gala,299,299
7270,Beauty & Hygiene,Bath & Hand Wash,Dettol,265.08,327
7271,Beauty & Hygiene,Health & Medicine,Sri Sri Tattva,135,135
7272,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",FabBox,85,85
7273,"Foodgrains, Oil & Masala",Rice & Rice Products,bb Royal,62,75
7274,Fruits & Vegetables,Fresh Vegetables,Fresho,45,56.25
7275,Snacks & Branded Foods,Ready To Cook & Eat,Weikfield,65,130
7276,Beauty & Hygiene,Health & Medicine,Skore,2500,2500
7277,Cleaning & Household,"Mops, Brushes & Scrubs",Liao,135,148
7278,"Foodgrains, Oil & Masala",Masalas & Spices,Aachi,27,30
7279,Beauty & Hygiene,Health & Medicine,IN2,2499,2499
7280,Cleaning & Household,Stationery,Doms,118,120
7281,Beauty & Hygiene,Men's Grooming,Nova,394.98,1295
7282,Gourmet & World Food,"Sauces, Spreads & Dips",Sprig,149,149
7283,Cleaning & Household,Car & Shoe Care,Cherry Blossom,76.5,110
7284,"Kitchen, Garden & Pets",Steel Utensils,BB Home,749,1199
7285,"Foodgrains, Oil & Masala",Masalas & Spices,bb Royal,20,30
7286,"Eggs, Meat & Fish",Fish & Seafood,ITC Master Chef,185,185
7287,Fruits & Vegetables,Fresh Vegetables,Fresho,27.72,45
7288,Gourmet & World Food,"Sauces, Spreads & Dips",The Gourmet Jar,299,299
7289,"Foodgrains, Oil & Masala",Organic Staples,Pro Nature,72.75,97
7290,Cleaning & Household,Bins & Bathroom Ware,DP,570,570
7291,"Kitchen, Garden & Pets",Steel Utensils,BB Home,349,509
7292,Beauty & Hygiene,Skin Care,Aloe Veda,234,260
7293,Beauty & Hygiene,Skin Care,Nyassa,450,450
7294,Beauty & Hygiene,Hair Care,Loreal Paris,250,250
7295,Beauty & Hygiene,Health & Medicine,Bella,433,516
7296,Baby Care,Mothers & Maternity,Bionova,675,675
7297,"Kitchen, Garden & Pets",Storage & Accessories,All Time,59,70
7298,"Foodgrains, Oil & Masala",Organic Staples,Himalayan Natives,102,120
7299,Fruits & Vegetables,Organic Fruits & Vegetables,Fresho,14.4,18
7300,"Foodgrains, Oil & Masala",Organic Staples,Turn Organic ,202.5,225
7301,Beverages,"Health Drink, Supplement",Amul Pro,140,175
7302,Cleaning & Household,"Disposables, Garbage Bag",Paseo,145,145
7303,Beverages,"Health Drink, Supplement",Kapiva Ayurveda,1800,1800
7304,"Kitchen, Garden & Pets",Crockery & Cutlery,Iveo ,209,262
7305,Beauty & Hygiene,Bath & Hand Wash,Khadi Natural,70,70
7306,"Kitchen, Garden & Pets",Storage & Accessories,Nakoda,1180,1180
7307,Snacks & Branded Foods,Biscuits & Cookies,Parle,62.37,70
7308,Beauty & Hygiene,Bath & Hand Wash,Wild Ideas,90,90
7309,Cleaning & Household,Detergents & Dishwash,bb Combo,329,339
7310,"Foodgrains, Oil & Masala",Masalas & Spices,Hakim,60,60
7311,"Foodgrains, Oil & Masala","Atta, Flours & Sooji",bb Royal,38,39
7312,Gourmet & World Food,Oils & Vinegar,Fragata,360,360
7313,"Foodgrains, Oil & Masala",Masalas & Spices,Keya,92.65,109
7314,"Kitchen, Garden & Pets",Crockery & Cutlery,Krosno - Europe,1299,1299
7315,Beauty & Hygiene,Hair Care,Parachute ,133,133
7316,Beauty & Hygiene,Skin Care,Organic Harvest,148.75,175
7317,Beauty & Hygiene,Bath & Hand Wash,Mysore Sandal,200,200
7318,Gourmet & World Food,Drinks & Beverages,Beanies,315,350
7319,Beauty & Hygiene,Bath & Hand Wash,Kama Ayurveda,1495,1495
7320,Cleaning & Household,Stationery,Hm International,129,129
7321,Baby Care,Baby Accessories,Chicco,299,299
7322,Fruits & Vegetables,Fresh Fruits,Fresho,85,106.25
7323,Beauty & Hygiene,Fragrances & Deos,Nivea Men,181.3,185
7324,Beauty & Hygiene,Hair Care,Himalaya,72,80
7325,Baby Care,Baby Accessories,Munchkin,799,799
7326,Beauty & Hygiene,Hair Care,Dove,195.31,255
