index,category,sub_category,brand,sale_price,market_price
6969,"Kitchen, Garden & Pets",Appliances & Electricals,Panasonic,70,80
6970,Beauty & Hygiene,Health & Medicine,Kerala Ayurveda,575,575
6971,Cleaning & Household,Stationery,Prozo Plus,499,499
6972,Beauty & Hygiene,Bath & Hand Wash,Vivel,432,480
6973,Cleaning & Household,Fresheners & Repellents,Glade,85,85
6974,Beverages,Tea,Teamonk,687.5,1375
6975,Beauty & Hygiene,Skin Care,Plum,940,1175
6976,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Happilo,426,610
6977,"Kitchen, Garden & Pets",Pet Food & Accessories,Wiggles.in,550,550
6978,Gourmet & World Food,"Pasta, Soup & Noodles",Anmara,396,495
6979,"Foodgrains, Oil & Masala",Masalas & Spices,bb Royal,24,29
6980,Gourmet & World Food,"Sauces, Spreads & Dips",Mamy,365,365
6981,Beverages,Tea,Teamonk,212.5,425
6982,Snacks & Branded Foods,Ready To Cook & Eat,Sanketi Adukale,75,75
6983,Snacks & Branded Foods,Ready To Cook & Eat,Brown & Polson,125,125
6984,Beverages,Tea,Teamonk,297.5,425
6985,Snacks & Branded Foods,Frozen Veggies & Snacks,ITC Master Chef,247,260
6986,Cleaning & Household,All Purpose Cleaners,Weiman,650,650
6987,Gourmet & World Food,"Sauces, Spreads & Dips",Sugarless Bliss,195,195
6988,Gourmet & World Food,"Sauces, Spreads & Dips",Lee Kum Kee,250,250
6989,Beauty & Hygiene,Skin Care,StBotanica,799,799
6990,Cleaning & Household,Pooja Needs,Gou Ganga,60,60
6991,Snacks & Branded Foods,Snacks & Namkeen,Kiara Foods,50,50
6992,Snacks & Branded Foods,Pickles & Chutney,Mother's Recipe,84,89
6993,Gourmet & World Food,Oils & Vinegar,bb Combo,912,1704
6994,Beauty & Hygiene,Health & Medicine,Kerala Ayurveda,250,250
6995,Beauty & Hygiene,Skin Care,INATUR ,562.5,750
6996,Beauty & Hygiene,Men's Grooming,Lotus Herbals,262.5,375
6997,"Bakery, Cakes & Dairy",Dairy,So Good,210.6,260
6998,Gourmet & World Food,"Sauces, Spreads & Dips",Sakurafresh,415,415
6999,Fruits & Vegetables,Fresh Vegetables,Fresho,33,41.25
7000,Beauty & Hygiene,Hair Care,The Moms Co,591,591
7001,Beauty & Hygiene,Health & Medicine,Kerala Ayurveda,500,500
7002,Snacks & Branded Foods,"Noodle, Pasta, Vermicelli",Sunfeast,99.18,116
7003,"Kitchen, Garden & Pets",Steel Utensils,Homio,649,799
7004,Snacks & Branded Foods,"Spreads, Sauces, Ketchup",MAGGI ,110,110
7005,Beauty & Hygiene,Feminine Hygiene,Whisper ,37.62,42
7006,"Bakery, Cakes & Dairy",Dairy,Storia,87.89,105
7007,Beverages,Fruit Juices & Drinks,Gulabs,250,250
7008,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Miller,188,395
7009,Beauty & Hygiene,Fragrances & Deos,Super Smelly,262.5,350
7010,Fruits & Vegetables,Fresh Vegetables,Fresho,28,35
7011,Beverages,Tea,VAHDAM,140,200
7012,Snacks & Branded Foods,"Spreads, Sauces, Ketchup",Veeba,347.13,399
7013,Gourmet & World Food,Drinks & Beverages,Teamonk,360,600
7014,Gourmet & World Food,Oils & Vinegar,Health 1st,390,390
7015,Beauty & Hygiene,Fragrances & Deos,Nike,243.6,348
